010000001295;Escova Aço p/Caes;178
010000002599;Cand.vidro v-122;0
06422;06422 Vela taco almizcle/azul;-1
06434;06434 Vela taco medresilva;-3
1041001586;Jogo Infantil 4 pcs;-1
1073000483;Abajour Flores MD;-1
1117000705;Jogo 6 T-Light rosas;-10
1117010001;50 T-lights brancas 4H;-3
1141000061;Azeiteira com letras VI;-1
1152000525;Boiao transparente GR;-10
1152000526;Boiao Transparente PQ;-12
1152000527;Boiao quad. doseador T;-8
1152000530;Saboneteiras 2 partes;-6
1152000531;Estojo Escova Dentes;-6
1152000532;Escova Cabelo Plast.;-7
1152000535;Touca banho branca;-6
1152000536;Esponja redonda c/asa;-1
1152000542;Jogo 5 caixas transp.;-7
1152000543;Escova de costas transp.;-6
1152000547;Jogo 7 boioes aeroport;-2
1152000557;JOGO 4 PCS MANICURE;-1
1152000616;Pastilheiro;-3
1152000618;Set costura;-3
1168000262;ALMOFADAS FLORES SOFT;-1
1170000561;Cx Infusao;-2
1170000580;Base tachos talheres;-4
1176000605;Jogo 4 café good mornig;-1
1194000252;Caderno de receitas good morning;-1
1204002013;Vela Copo Red Make up;-1
1217000140;Moldura 13X18 pele escura;-1
1217001040;Moldura Ps cinz. 15*20;-3
1221000010;Set 6 facas barrar pão;-1
1242000073;Taça S3I;-3
1242000086;Caneca pontos S3I;-2
1284000690;Porta T-Light Silver;-2
1298000607;Carro 4 gavetas;-1
1298000632;Dispensador 1 Caixa Cápsulas Café;-1
1298000713;Suporte Gir 4 Cx Cápsulas;-1
1298000802;Saboneteira negra;-1
1301000039;Cadeno p/ Receitas c/ Luva Marinho;-1
1366000334;Sandália infantil vermelha M;-1
1366000335;Sandália infantil laranja S;-1
1366000336;SANDALIA INFANTIL LARANJA M;-1
1398000069;Tapete 100 €;-2
1434000078;Pendente p/ tlm chinelos;-1
1485000001;tocha jardim 90cm;-1
1569001236;Bota de agua t34;-1
1651000019;Mala preta bolso cores;-1
1668000007;IMAN ANIMAIS;-2
1679000011;Orquideas S3I;-9
1679000026;Ramo 6 Lavandas;-1
1679000033;Planta Alta Uni;-15
1679000037;flor western cherry;-13
1710001039;Caixa máquina café;-1
1712000035;rolha cozinheiros;-3
1732001194;PULSEIRA FLORES CASTANHA;-1
1742000034;MOLDURA METALICA LARGA 15*20;-1
1742000060;Moldura aço inox 15*20;-7,67
1746000091;CAMIONETA RACING;-1
1753000032;Cesto bambu roupa suj;-1
1753000038;Mesa auxiliar dobrável MDF;-1
1761000223;Pandeireta fadas e pi;-4
1761000246;Matraca de madeira;-1
1761000321;Mini caderno animais;-1
1761000324;Caderno japonesas;-1
1761000327;AFIA LAPIS JAPONESAS;-2
1761000328;Lapis Japonesas;-2
1812000308;XAILE/PAREO FLORAL VERDE;-1
1812000309;XAILE PAREO FLORAL F/BAR;-1
1816000158;XALE CUAD AZULÃO BORDOS COLOR;-1
1853003070;Lenço estampado cinzento;-1
1853003086;Lenço laranja;-1
1853003087;Lenço mão azul;-1
1868000065;Boneco;-1
1891000075;PULSEIRA LARGA DOURADA;-1
1891000079;BRINCOS AROS GRCH;-1
1891000099;COLAR CIRCULO DOURADO;-1
1891000121;BRINCOS ARO LISO DOUR MED;-1
1917000076;Carteira dupla highgate laranja;-1
1918000029;Carteira pq. verde;-1
1947000271;LENÇO CREME BORDO COLORIDO;-1
2000000000015;testecb;-6
2000000000022;122/Bordado Pano de Felpo 50x50cm;0
2000000000039;122/Regional Pano de Felpo Bordado 50x50cm;-7
2000000000046;Resgurdo de Mesa 140x250cm;4
2000000000053;208 Toalha de Mesa Redonda Namorados;1
2000000000060;101/Bordado Pano de Favo 50x75;6
2000000000077;101/Regional Pano de Cozinha Regional Favo 50x70cm;8
2000000000084;521 Jogo de Banho Branco e Bege;7
2000000000091;523 Jogo de banho namorados 3 peças cores;0
2000000000107;jogo de banho namorados 6 peças branco e beje;0
2000000000114;1001 Capa protectora cochao felpo 90 x190 cm;-1
2000000000121;1002 Capa protectora colchao felpo 140x190 cm;-37
2000000000138;1008 Protetor colchão impermeável 140x190cm;-1
2000000000145;1003 Protetor colchão 150x200cm;-6
2000000000152;Capa protectora de colchao 180x200 cm;5
2000000000169;1010 Capa protectora clchao impermiavel 180x200;-3
2000000000176;1009 Capa protectora colchao impermiavel 160x200 cm;1
2000000000183;1006 Capa protectora colchao impermiavel 100x200 cm;1
2000000000190;531 Toalhete namorados;-71
2000000000206;824 Resguardo de mesa 140x160cm;0
2000000000213;1004 Protetor de colchão 160x200cm;-3
2000000000220;Carro Iva 23%;72
2000000000237;520 Caixa Banho Namorados 6pcs;2
2000000000244;208 Toalha redonda 150cm namorados;-1
2000000000251;503 Lençol de banho 100x140cm;1
2000000000268;Pulverizador Pressão L/Telescop 16Lt;0
2000000000275;Saca Rolhas;-8
2000000000282;Sinaletica Autoc. Vinil;1
2000000000299;Super Cola   Komayo;-5
2000000000305;Sacho Agricultor 2 Dentes s/cabo;-8
2000000000312;Ração Melro Vitaminada 800g;-103
2000000000329;Classic Cat 2 kg;4
2000000000336;Classic Jet Cão 4 kg;0
2000000000343;Raspador7x5.5 * 12.5;-5
2000000000350;Comedouro Supernova 70;0
2000000000367;Comedouro Supernova 90;0
2000000000374;Linurex Flow 200ml;0
2000000000381;Animin Goldfish Food 100ml;-2
2000000000398;Gladiolo Green Star 12/14;-167458
2000000000404;Gladiolo Amsterdam 12/14;-392493
2000000000411;Agita 100gr;0
2000000000428;Açaime Bossal c/4 fivelas;1
2000000000435;Stomoxin 25gr;-5
2000000000442;Chorus 50 wg 300 gr;4
2000000000459;Herbinexa 40 K 250ml;-24
2000000000466;Olymp 10 Ew( 30 ml);0
2000000000473;Confidor O-Teq 50 Ml;10
2000000000480;Mancozebe 250Gr;-160
2000000000497;Churrasqueira rect.3/f c/ pernas altas reforçadas;3
2000000000503;Electrodo Numal 3.2x350mm 175un.;-1,05
2000000000527;Corrente Prisao Vic. 1.75 Zinc Nº2;0
2000000000534;Lampada Halogeneo 42W Standard E-27;-6
2000000000541;Iodopovidona Dermica 125ml;-18
2000000000558;Lamp.Tungluz Stand -100w;3
2000000000565;Cubos Gelo Grandes Golden/180;3
2000000000572;Arrixada Liq. Roup. c/ Gel;0
2000000000589;Arrixada Liq. c/Sabão 1,5;-37
2000000000596;Vassouras Criança;-4
2000000000602;Banco P/casa de Banho 2534;2
2000000000619;Balde Orvis 13lts +espremedor;1
2000000000626;Balde Rect. + Espremedor Celave;-3
2000000000664;nabo meia lunga;0
2000000000688;"Vitipec ""c""-300gr";-80
2000000000695;Rede Rachel Dupla 4*12 mt verde;-3245
2000000000701;Floreira em Ceramica(50cm);1
2000000000718;Floreira em Ceramica(40cm);2
2000000000725;Escovas Macias P/a Limpar Rosas 17 cm(Par);-2
2000000000732;Gomas 70*2mm 1 Kg;-143
2000000000749;Churrasqueira Rect. 2 /F C/ Pernas Altas;2
2000000000756;Apanha Folhas C/Cabo Metalico Extensivel;-5
2000000000763;Dorna Normal 500 Lts;0
2000000000770;Lima Trian. c/V T. fINO 4;5
2000000000787;Lima Redonda P/Moto-Serra 5/32;-13
2000000000794;Lima Triang. C/V T.Regular 4;2
2000000000800;"Serrote Carpinteiro 22"" 19471";5
2000000000817;Recarga Antimelgas Casa Jardim;-35
2000000000824;Noxi Baratas e Formigas 125 grs;-18
2000000000848;Coleira Couro nº8;-6
2000000000855;Escova tipo S-Cabo Plástico(roupa);-43
2000000000862;Escova P/Ladrilhos PvC Joanfer;-12
2000000000879;Panos pó Neolar;-6
2000000000886;Alguidar 20 lts c/asa 2502;0
2000000000893;Bacia 12 lts c/asa 2501;0
2000000000909;Arrixaca wc Pastilhas Azul c/2;-3
2000000000916;Margiflesh Liquido;-5
2000000000923;Karpex L. Alcatifa 1 lt;2
2000000000930;Bola Branca;-7
2000000000947;Pilhas Cegasa 9w- 6F22;5
2000000000954;Gladiolo Chinon 12/14;-11225
2000000000961;Propágulos de Estrelicias em Vaso;-1129
2000000000978;Sementes de Helianthus Sunrich Lemon;-6,705
2000000000985;Milho Miudo Kg;-44,65
2000000000992;Morangueiro Unidade;-425
2000000001005;Nitrato de Cálcio Rega 25 Kg;-17
2000000001012;Sulfato Potássio 40 Kg;-6
2000000001029;Nitrato Magnesio 25 kg;-1
2000000001036;Friskies Junior Cão 18kg;-25
2000000001043;Creskal 12.4.6 (1lt)-adubo foliar;-22
2000000001050;Balde Cor c/Bico 12 lts;-5
2000000001067;Balde de Construção 10 Lts;-15
2000000001098;B-Nine 1 Kg;-1
2000000001104;Folical 5 L;0
2000000001111;Mechas de Enxofre;-23
2000000001128;Bacia( L60) JG 600;-2
